date,SO2,CO,PM10,NO2,O3,PM2.5
2022-04-01 12:00:00,17.81272727,363.9112121,3331.386667,14.51272727,20.05181818,3331.386667
2022-04-01 13:00:00,19.2671875,344.940625,3331.402188,5.6075,21.344375,3331.402188
2022-04-01 14:00:00,18.91971429,340.2574286,3335.064,8.319428571,24.228,3335.064
2022-04-01 15:00:00,19.8159375,399.228125,3332.697188,20.113125,26.7440625,3332.697188
2022-04-01 16:00:00,20.99875,344.0084375,3332.212813,18.0240625,22.0796875,3332.212813
2022-04-01 17:00:00,19.30882353,370.8955882,3332.135,25.38323529,22.05882353,3332.135
2022-04-01 18:00:00,20.155,422.6532353,3331.306471,32.21970588,18.98,3331.306471
2022-04-01 19:00:00,19.09636364,437.1751515,3330.998788,34.91848485,17.24121212,3330.998788
2022-04-01 20:00:00,18.15454545,336.0624242,3332.003636,29.99969697,14.46363636,3332.003636
2022-04-01 21:00:00,18.95351351,315.257027,3331.205135,27.59378378,13.96675676,3331.205135
2022-04-01 22:00:00,17.0027027,226.2043243,3332.692703,25.07918919,14.28648649,3332.692703
2022-04-01 23:00:00,10.24666667,222.7357143,3332.667143,24.68714286,13.06,3332.667143
2022-04-02 00:00:00,10.28576923,212.0942308,3333.108846,24.31807692,12.485,3333.108846
2022-04-02 01:00:00,10.24305556,200.7163889,3331.891667,23.14555556,13.81861111,3331.891667
2022-04-02 02:00:00,9.001794872,198.7107692,3334.22,23.07948718,14.53692308,3334.22
2022-04-02 03:00:00,9.203055556,194.2947222,3332.734167,21.18083333,14.84611111,3332.734167
2022-04-02 04:00:00,8.104411765,193.2373529,3331.787941,19.19147059,17.47088235,3331.787941
2022-04-02 05:00:00,7.996153846,188.4246154,3331.928462,19.21730769,17.54461538,3331.928462
2022-04-02 06:00:00,11.39275862,209.3155172,3331.791034,19.31206897,15.76034483,3331.791034
2022-04-02 07:00:00,21.23325,306.119,3330.691,21.387,12.0685,3330.691
2022-04-02 08:00:00,25.80575758,353.1693939,3330.413939,15.97212121,10.76939394,3330.413939
2022-04-02 09:00:00,22.74742857,271.4762857,3332.003143,6.518857143,14.12971429,3332.003143
2022-04-02 10:00:00,18.87558824,360.8373529,3332.751765,9.271176471,22.48970588,3332.751765
2022-04-02 11:00:00,16.68783784,430.4132432,3331.644865,13.81648649,27.11756757,3331.644865
2022-04-02 12:00:00,17.04027027,369.3764865,3330.18973,9.896756757,26.85378378,3330.18973
2022-04-02 13:00:00,16.36352941,382.885,3332.776176,9.790294118,27.31294118,3332.776176
2022-04-02 14:00:00,17.98230769,371.7076923,3333.537179,7.228717949,25.89846154,3333.537179
2022-04-02 15:00:00,19.11194444,444.7866667,3330.855,20.54277778,29.10333333,3330.855
2022-04-02 16:00:00,18.63375,339.89675,3333.2885,18.854,24.60125,3333.2885
2022-04-02 17:00:00,13.52447368,329.5842105,3332.352105,31.52026316,26.91578947,3332.352105
2022-04-02 18:00:00,12.95,266.3438889,3332.795,32.50361111,22.65611111,3332.795
2022-04-02 19:00:00,13.7169697,250.5993939,3332.444545,29.69424242,19.25787879,3332.444545
2022-04-02 20:00:00,14.28703704,236.5237037,3333.435556,26.84888889,16.17592593,3333.435556
2022-04-02 21:00:00,15.18647059,236.7876471,3331.113235,26.38588235,15.77617647,3331.113235
2022-04-02 22:00:00,15.63783784,212.8832432,3331.233784,24.24702703,13.82243243,3331.233784
2022-04-02 23:00:00,9.357333333,195.2613333,3331.737667,22.29266667,14.912,3331.737667
2022-04-03 00:00:00,7.627878788,183.1090909,3331.864848,21.18878788,16.88606061,3331.864848
2022-04-03 01:00:00,8.391935484,199.3316129,3331.045161,23.05354839,19.24709677,3331.045161
2022-04-03 02:00:00,7.735,209.9216667,3328.218667,22.418,17.85466667,3328.218667
2022-04-03 03:00:00,11.28911765,246.1682353,3331.644706,22.46529412,13.46352941,3331.644706
2022-04-03 04:00:00,10.19433333,253.858,3331.389667,23.76833333,15.124,3331.389667
2022-04-03 05:00:00,14.34769231,285.27,3334.165385,25.07384615,14.34192308,3334.165385
2022-04-03 06:00:00,16.29914286,236.822,3332.441714,20.91971429,14.34371429,3332.441714
2022-04-03 07:00:00,22.32121212,300.2360606,3331.245758,19.91848485,9.870606061,3331.245758
2022-04-03 08:00:00,24.92457143,373.6791429,3330.906,19.11657143,5.339428571,3330.906
2022-04-03 09:00:00,24.71666667,352.8590909,3332.288182,17.08424242,7.576969697,3332.288182
2022-04-03 10:00:00,23.64131579,357.2973684,3331.028158,14.43868421,9.559210526,3331.028158
2022-04-03 11:00:00,23.00882353,327.2547059,3331.378824,8.531764706,11.13647059,3331.378824
2022-04-03 12:00:00,19.18416667,406.8583333,3330.951111,10.17305556,20.42694444,3330.951111
2022-04-03 13:00:00,19.392,358.9446667,3332.234,5.782666667,20.20733333,3332.234
2022-04-03 14:00:00,19.5909375,377.8534375,3332.037813,10.576875,20.0340625,3332.037813
2022-04-03 15:00:00,16.97423077,348.1053846,3332.739231,12.795,23.70384615,3332.739231
2022-04-03 16:00:00,8.877352941,307.4605882,3330.124118,34.01647059,28.94705882,3330.124118
2022-04-03 17:00:00,16.70055556,334.4702778,3332.038611,33.91472222,17.9925,3332.038611
2022-04-03 18:00:00,18.69833333,355.1644444,3333.081944,29.70611111,15.59277778,3333.081944
2022-04-03 19:00:00,27.08322581,463.0445161,3331.428387,28.0183871,13.60064516,3331.428387
2022-04-03 20:00:00,20.106875,342.8775,3331.778438,23.810625,12.803125,3331.778438
2022-04-03 21:00:00,16.966,275.1328571,3333.282286,23.20085714,13.01657143,3333.282286
2022-04-03 22:00:00,15.5,218.9333333,3330.11,21.17666667,14.00333333,3330.11
2022-07-07 11:00:00,13.84,356.895,22.38,15.19,12.64,21.645
2023-03-08 11:00:00,78.125,1193.11,,79.3,12.855,
2023-03-08 12:00:00,77.69184615,1179.224,8.788307692,78.69707692,1.600307692,8.423846154
2023-03-08 13:00:00,47.093,709.752,8.05,44.70433333,10.12233333,7.716666667
2023-03-08 14:00:00,48.37538462,691.6891026,7.277051282,41.78410256,8.837948718,6.998205128
2023-03-08 15:00:00,45.88116883,661.3515584,6.836363636,37.19792208,7.584805195,6.566883117
2023-03-08 16:00:00,43.15076923,668.5158974,6.888717949,36.19602564,7.209230769,6.612820513
2023-03-08 17:00:00,41.91141026,672.0497436,7.047692308,35.40653846,7.529230769,6.748205128
2023-03-08 18:00:00,42.30736842,707.9961842,6.638157895,34.71368421,7.025657895,6.429342105
2023-03-08 19:00:00,42.77320513,760.9684615,7.715512821,34.0424359,6.88,7.497307692
2023-03-08 20:00:00,43.15545455,850.7058442,8.951948052,33.92701299,5.743636364,8.697142857
2023-03-08 21:00:00,45.36133333,1015.1972,11.79986667,33.19746667,4.934,11.35706667
2023-03-08 22:00:00,48.17987179,1210.848205,15.1825641,32.235,5.108589744,14.74461538
